#  Iter.   M_avg.    U_Bind.    Susc.
    9591  0.020709  0.364223  0.011230
    9601  0.020679  0.364194  0.011229
    9611  0.020673  0.364165  0.011229
    9621  0.020673  0.364139  0.011229
    9631  0.020639  0.364107  0.011228
    9641  0.020614  0.364071  0.011228
    9651  0.020644  0.364041  0.011228
    9661  0.020656  0.364015  0.011228
    9671  0.020662  0.363994  0.011228
    9681  0.020657  0.363972  0.011227
    9691  0.020652  0.363952  0.011227
    9701  0.020644  0.363931  0.011226
    9711  0.020632  0.363909  0.011225
    9721  0.020650  0.363892  0.011225
    9731  0.020637  0.363874  0.011224
    9741  0.020672  0.363860  0.011224
    9751  0.020678  0.363849  0.011223
    9761  0.020680  0.363841  0.011222
    9771  0.020729  0.363828  0.011222
    9781  0.020692  0.363810  0.011222
    9791  0.020707  0.363797  0.011222
    9801  0.020706  0.363786  0.011222
    9811  0.020692  0.363773  0.011222
    9821  0.020693  0.363761  0.011222
    9831  0.020727  0.363754  0.011221
    9841  0.020709  0.363744  0.011221
    9851  0.020697  0.363732  0.011221
    9861  0.020679  0.363718  0.011221
    9871  0.020674  0.363704  0.011221
    9881  0.020675  0.363692  0.011220
    9891  0.020678  0.363683  0.011220
    9901  0.020675  0.363674  0.011219
    9911  0.020671  0.363667  0.011219
    9921  0.020666  0.363659  0.011218
    9931  0.020645  0.363648  0.011217
    9941  0.020646  0.363639  0.011216
    9951  0.020657  0.363634  0.011216
    9961  0.020656  0.363631  0.011215
    9971  0.020640  0.363625  0.011214
    9981  0.020633  0.363619  0.011213
    9991  0.020623  0.363612  0.011212
    9001  0.014228  0.393361  0.010290
    9011  0.014238  0.393256  0.010292
    9021  0.014253  0.393161  0.010295
    9031  0.014268  0.393076  0.010297
    9041  0.014252  0.392987  0.010299
    9051  0.014287  0.392897  0.010302
    9061  0.014312  0.392815  0.010305
    9071  0.014340  0.392740  0.010308
    9081  0.014328  0.392662  0.010311
    9091  0.014325  0.392585  0.010314
    9101  0.014341  0.392518  0.010317
    9111  0.014354  0.392459  0.010319
    9121  0.014370  0.392408  0.010322
    9131  0.014354  0.392353  0.010325
    9141  0.014377  0.392305  0.010327
    9151  0.014374  0.392258  0.010330
    9161  0.014389  0.392220  0.010333
    9171  0.014400  0.392188  0.010335
    9181  0.014399  0.392159  0.010337
    9191  0.014403  0.392134  0.010339
    9201  0.014394  0.392107  0.010341
    9211  0.014424  0.392083  0.010344
    9221  0.014436  0.392066  0.010346
    9231  0.014429  0.392049  0.010348
    9241  0.014440  0.392037  0.010350
    9251  0.014436  0.392026  0.010352
    9261  0.014450  0.392022  0.010353
    9271  0.014453  0.392022  0.010355
    9281  0.014429  0.392014  0.010357
    9291  0.014417  0.392004  0.010358
    9301  0.014431  0.391999  0.010360
    9311  0.014413  0.391990  0.010362
    9321  0.014412  0.391983  0.010363
    9331  0.014414  0.391978  0.010364
    9341  0.014421  0.391978  0.010366
    9351  0.014418  0.391979  0.010367
    9361  0.014403  0.391976  0.010368
    9371  0.014417  0.391979  0.010369
    9381  0.014432  0.391987  0.010370
    9391  0.014413  0.391991  0.010371
    9401  0.014390  0.391988  0.010372
    9411  0.014391  0.391988  0.010373
    9421  0.014397  0.391991  0.010374
    9431  0.014404  0.391999  0.010375
    9441  0.014413  0.392012  0.010376
    9451  0.014405  0.392023  0.010377
    9461  0.014417  0.392039  0.010377
    9471  0.014421  0.392059  0.010378
    9481  0.014428  0.392082  0.010378
    9491  0.014419  0.392104  0.010379
    9501  0.014434  0.392130  0.010379
    9511  0.014445  0.392162  0.010379
    9521  0.014469  0.392196  0.010380
    9531  0.014468  0.392232  0.010380
    9541  0.014463  0.392267  0.010380
    9551  0.014451  0.392299  0.010380
    9561  0.014451  0.392333  0.010381
    9571  0.014485  0.392361  0.010381
    9581  0.014489  0.392392  0.010382
    9591  0.014466  0.392417  0.010382
    9601  0.014443  0.392436  0.010383
    9611  0.014466  0.392459  0.010384
    9621  0.014448  0.392478  0.010385
    9631  0.014439  0.392494  0.010386
    9641  0.014432  0.392510  0.010387
    9651  0.014425  0.392525  0.010387
    9661  0.014431  0.392542  0.010388
    9671  0.014447  0.392565  0.010389
    9681  0.014448  0.392589  0.010389
    9691  0.014460  0.392617  0.010390
    9701  0.014442  0.392641  0.010390
    9711  0.014432  0.392663  0.010391
    9721  0.014423  0.392683  0.010391
    9731  0.014442  0.392707  0.010392
    9741  0.014433  0.392729  0.010392
    9751  0.014441  0.392754  0.010392
    9761  0.014494  0.392725  0.010394
    9771  0.014482  0.392695  0.010396
    9781  0.014490  0.392668  0.010397
    9791  0.014507  0.392646  0.010399
    9801  0.014492  0.392621  0.010400
    9811  0.014500  0.392600  0.010402
    9821  0.014494  0.392579  0.010403
    9831  0.014479  0.392554  0.010405
    9841  0.014499  0.392533  0.010406
    9851  0.014509  0.392517  0.010408
    9861  0.014498  0.392499  0.010409
    9871  0.014538  0.392464  0.010411
    9881  0.014531  0.392428  0.010413
    9891  0.014523  0.392392  0.010415
    9901  0.014523  0.392357  0.010417
    9911  0.014509  0.392319  0.010418
    9921  0.014527  0.392286  0.010420
    9931  0.014514  0.392251  0.010422
    9941  0.014517  0.392218  0.010424
    9951  0.014523  0.392188  0.010425
    9961  0.014519  0.392159  0.010427
    9971  0.014507  0.392128  0.010428
    9981  0.014494  0.392094  0.010430
    9991  0.014493  0.392062  0.010431
    9001  0.013179  0.299466  0.012580
    9011  0.013192  0.299549  0.012579
    9021  0.013171  0.299622  0.012578
    9031  0.013184  0.299704  0.012577
    9041  0.013166  0.299777  0.012576
    9051  0.013156  0.299846  0.012575
    9061  0.013161  0.299921  0.012574
    9071  0.013172  0.300005  0.012572
    9081  0.013157  0.300081  0.012571
    9091  0.013162  0.300162  0.012570
    9101  0.013151  0.300239  0.012568
    9111  0.013128  0.300305  0.012567
    9121  0.013135  0.300378  0.012566
    9131  0.013131  0.300450  0.012564
    9141  0.013128  0.300523  0.012562
    9151  0.013124  0.300595  0.012561
    9161  0.013119  0.300666  0.012559
    9171  0.013110  0.300733  0.012556
    9181  0.013109  0.300802  0.012554
    9191  0.013148  0.300862  0.012553
    9201  0.013140  0.300920  0.012552
    9211  0.013144  0.300982  0.012550
    9221  0.013130  0.301037  0.012548
    9231  0.013156  0.301101  0.012547
    9241  0.013161  0.301168  0.012546
    9251  0.013157  0.301235  0.012544
    9261  0.013158  0.301305  0.012543
    9271  0.013157  0.301376  0.012541
    9281  0.013185  0.301452  0.012540
    9291  0.013210  0.301536  0.012539
    9301  0.013210  0.301621  0.012537
    9311  0.013197  0.301701  0.012536
    9321  0.013203  0.301786  0.012535
    9331  0.013185  0.301864  0.012534
    9341  0.013179  0.301940  0.012532
    9351  0.013183  0.302020  0.012531
    9361  0.013184  0.302101  0.012529
    9371  0.013202  0.302191  0.012527
    9381  0.013200  0.302281  0.012526
    9391  0.013184  0.302365  0.012524
    9401  0.013184  0.302449  0.012522
    9411  0.013186  0.302537  0.012520
    9421  0.013183  0.302624  0.012518
    9431  0.013190  0.302716  0.012516
    9441  0.013174  0.302802  0.012514
    9451  0.013179  0.302892  0.012512
    9461  0.013176  0.302982  0.012510
    9471  0.013171  0.303070  0.012508
    9481  0.013162  0.303155  0.012505
    9491  0.013154  0.303238  0.012503
    9501  0.013159  0.303324  0.012500
    9511  0.013158  0.303412  0.012497
    9521  0.013150  0.303496  0.012495
    9531  0.013155  0.303585  0.012492
    9541  0.013149  0.303672  0.012489
    9551  0.013160  0.303764  0.012486
    9561  0.013142  0.303850  0.012483
    9571  0.013181  0.303922  0.012481
    9581  0.013172  0.303991  0.012479
    9591  0.013160  0.304056  0.012477
    9601  0.013149  0.304117  0.012475
    9611  0.013140  0.304175  0.012473
    9621  0.013141  0.304236  0.012471
    9631  0.013120  0.304290  0.012469
    9641  0.013112  0.304341  0.012467
    9651  0.013105  0.304391  0.012465
    9661  0.013092  0.304436  0.012462
    9671  0.013077  0.304476  0.012460
    9681  0.013066  0.304513  0.012458
    9691  0.013049  0.304545  0.012456
    9701  0.013051  0.304579  0.012454
    9711  0.013050  0.304614  0.012452
    9721  0.013055  0.304653  0.012449
    9731  0.013039  0.304688  0.012447
    9741  0.013040  0.304724  0.012445
    9751  0.013046  0.304764  0.012442
    9761  0.013078  0.304803  0.012440
    9771  0.013085  0.304847  0.012438
    9781  0.013080  0.304890  0.012436
    9791  0.013071  0.304930  0.012434
    9801  0.013067  0.304970  0.012432
    9811  0.013073  0.305014  0.012430
    9821  0.013088  0.305064  0.012428
    9831  0.013072  0.305109  0.012426
    9841  0.013070  0.305154  0.012423
    9851  0.013080  0.305205  0.012421
    9861  0.013102  0.305260  0.012419
    9871  0.013108  0.305318  0.012417
    9881  0.013105  0.305377  0.012415
    9891  0.013102  0.305436  0.012413
    9901  0.013117  0.305500  0.012410
    9911  0.013128  0.305569  0.012408
    9921  0.013125  0.305637  0.012406
    9931  0.013117  0.305704  0.012404
    9941  0.013121  0.305773  0.012401
    9951  0.013120  0.305843  0.012399
    9961  0.013112  0.305911  0.012396
    9971  0.013107  0.305978  0.012394
    9981  0.013118  0.306049  0.012391
    9991  0.013144  0.306123  0.012389
    9001  0.011546  0.324822  0.012640
    9011  0.011559  0.324798  0.012639
    9021  0.011555  0.324776  0.012639
    9031  0.011563  0.324762  0.012639
    9041  0.011565  0.324752  0.012638
    9051  0.011562  0.324744  0.012638
    9061  0.011549  0.324730  0.012637
    9071  0.011572  0.324725  0.012637
    9081  0.011560  0.324715  0.012636
    9091  0.011614  0.324603  0.012638
    9101  0.011610  0.324492  0.012641
    9111  0.011600  0.324379  0.012642
    9121  0.011585  0.324260  0.012644
    9131  0.011583  0.324144  0.012646
    9141  0.011592  0.324039  0.012648
    9151  0.011594  0.323939  0.012649
    9161  0.011591  0.323841  0.012650
    9171  0.011616  0.323751  0.012652
    9181  0.011620  0.323667  0.012653
    9191  0.011619  0.323587  0.012655
    9201  0.011628  0.323516  0.012656
    9211  0.011612  0.323438  0.012657
    9221  0.011622  0.323370  0.012658
    9231  0.011609  0.323298  0.012659
    9241  0.011613  0.323232  0.012660
    9251  0.011633  0.323175  0.012661
    9261  0.011637  0.323125  0.012662
    9271  0.011635  0.323076  0.012662
    9281  0.011625  0.323024  0.012663
    9291  0.011619  0.322972  0.012663
    9301  0.011615  0.322920  0.012664
