site,mx,my,mz,atom
224,-0.5110754,-0.46418986,0.7234154,1
225,-0.46657497,-0.81208915,0.3504555,1
226,-0.35120285,-0.91442215,-0.20121829,1
227,-0.19935985,-0.71288514,-0.67234707,1
228,-0.08751211,-0.41335645,-0.9063543,1
229,-0.031824082,-0.17891756,-0.98334926,1
230,-0.024620406,-0.02647522,-0.99934626,1
231,-0.06749695,0.07380632,-0.9949859,1
232,-0.1665235,0.14311378,-0.9755964,1
233,-0.3136408,0.17707379,-0.93288493,1
234,-0.47017953,0.15419938,-0.86899585,1
235,-0.5778572,0.06747679,-0.8133437,1
236,-0.5920981,-0.05143504,-0.80422276,1
237,-0.5052198,-0.1433623,-0.85099953,1
238,-0.3479802,-0.16009465,-0.9237313,1
239,-0.16677096,-0.09510564,-0.98139817,1
240,0.013491194,0.01979562,-0.99971306,1
241,0.19958945,0.1361048,-0.97038114,1
242,0.39584094,0.20113651,-0.89602125,1
243,0.57019114,0.1753769,-0.80257404,1
244,0.6686769,0.06323673,-0.74085915,1
245,0.6565594,-0.08046701,-0.74996984,1
246,0.5405532,-0.18589388,-0.8205155,1
247,0.36762542,-0.21394081,-0.9050309,1
248,0.20238197,-0.17241146,-0.9640103,1
249,0.0888567,-0.089495,-0.9920157,1
250,0.035586417,0.025269238,-0.9990471,1
251,0.034402896,0.1925676,-0.98068047,1
252,0.08092964,0.44320646,-0.8927589,1
253,0.1790026,0.7538649,-0.63217556,1
254,0.30891812,0.9425134,-0.12742877,1
255,0.40104666,0.80825245,0.43114907,1
256,0.4335412,0.43931618,0.7867931,1
257,0.82971287,-0.0022902566,0.55818576,1
258,0.80460495,-0.4093525,0.43016443,1
259,0.70449346,-0.7058688,0.07374503,1
260,0.5085946,-0.7649111,-0.3952753,1
261,0.28552535,-0.57923007,-0.7635233,1
262,0.12473235,-0.30666035,-0.9436108,1
263,0.027016338,-0.04712252,-0.9985237,1
264,-0.050703257,0.21315537,-0.9757018,1
265,-0.15515332,0.5108213,-0.84557027,1
266,-0.31484777,0.7957412,-0.5173653,1
267,-0.48706537,0.8733549,0.004307443,1
268,-0.58698785,0.6480838,0.48521402,1
269,-0.6170638,0.25302252,0.7451254,1
270,-0.616989,-0.18540925,0.7648189,1
271,-0.5913387,-0.5946598,0.54470015,1
272,-0.504116,-0.8587654,0.09159165,1
273,-0.3390468,-0.83054525,-0.4418618,1
274,-0.1724896,-0.5717013,-0.8021253,1
275,-0.06627511,-0.3001836,-0.9515763,1
276,-0.017870648,-0.11019683,-0.99374914,1
277,-0.018404096,0.007964602,-0.9997989,1
278,-0.070119515,0.08327968,-0.9940562,1
279,-0.17459461,0.13032809,-0.9759771,1
280,-0.31437856,0.14160228,-0.93867725,1
281,-0.44531173,0.101959735,-0.8895514,1
282,-0.5154912,0.01651439,-0.85673577,1
283,-0.49475485,-0.07708239,-0.8656073,1
284,-0.3896588,-0.12781323,-0.912047,1
285,-0.23550099,-0.1049545,-0.9661904,1
286,-0.066348314,-0.014574305,-0.9976901,1
287,0.11237429,0.10946934,-0.9876176,1
288,0.31305483,0.21683806,-0.9246502,1
289,0.5236113,0.24944821,-0.8146207,1
290,0.69138503,0.17392078,-0.70124054,1
291,0.76022655,0.016369265,-0.6494518,1
292,0.70776385,-0.14847527,-0.6906703,1
293,0.55477893,-0.24679816,-0.79455084,1
294,0.3595802,-0.25063464,-0.89882386,1
295,0.18998285,-0.18309425,-0.96456367,1
296,0.08194617,-0.07881695,-0.9935153,1
297,0.0345729,0.056802247,-0.9977867,1
298,0.035421442,0.25041413,-0.9674906,1
299,0.07852147,0.5302349,-0.8442069,1
300,0.16333458,0.8425418,-0.51326907,1
301,0.26221526,0.96382713,0.047754012,1
302,0.3203309,0.7498268,0.5789197,1
303,0.3382998,0.35092428,0.8731583,1
304,0.34417766,-0.089338586,0.9346445,1
305,0.34438512,-0.520498,0.7813327,1
306,0.31824538,-0.8664985,0.38457802,1
307,0.23848125,-0.95120996,-0.19577114,1
308,0.13350476,-0.7192511,-0.6818023,1
309,0.053946245,-0.39087468,-0.9188617,1
310,-0.0046672397,-0.11379791,-0.99349296,1
311,-0.07575128,0.11759679,-0.99016804,1
312,-0.19888712,0.34319302,-0.9179665,1
313,-0.40264168,0.55166644,-0.73044086,1
