site,mx,my,mz,atom,run
461,-0.083933495,-0.026726753,-0.9961129,1,run1
462,0.09098071,0.093331076,-0.99146956,1,run1
463,0.2862678,0.20258324,-0.93648857,1,run1
464,0.49422956,0.24406603,-0.8343674,1,run1
465,0.6661527,0.18112344,-0.72348803,1,run1
466,0.74484605,0.0333957,-0.66640013,1,run1
467,0.7042822,-0.12906693,-0.698089,1,run1
468,0.56134707,-0.23257482,-0.7942282,1,run1
469,0.37072647,-0.24528849,-0.8957653,1,run1
470,0.19953391,-0.18581638,-0.9621115,1,run1
471,0.08709856,-0.08800683,-0.9923047,1,run1
472,0.03569358,0.040002424,-0.99856186,1,run1
473,0.033786416,0.22233593,-0.97438455,1,run1
474,0.07523082,0.48961142,-0.8686893,1,run1
475,0.16083397,0.80479634,-0.57134515,1,run1
476,0.2673841,0.96303207,-0.03278759,1,run1
477,0.3352473,0.7875435,0.51709235,1,run1
478,0.35594296,0.4023215,0.8434702,1,run1
479,0.35987058,-0.036918197,0.93227154,1,run1
480,0.35834524,-0.47236776,0.8052685,1,run1
481,0.3338175,-0.8356827,0.43611965,1,run1
482,0.256583,-0.95705307,-0.13496165,1,run1
483,0.14776666,-0.75071776,-0.64388496,1,run1
484,0.062224545,-0.4216828,-0.90460587,1,run1
485,0.0006226441,-0.13729812,-0.9905296,1,run1
486,-0.07012124,0.097191125,-0.9927925,1,run1
487,-0.19042508,0.3213285,-0.927624,1,run1
488,-0.39127067,0.52919495,-0.752901,1,run1
489,-0.64589363,0.62422144,-0.43951002,1,run1
490,-0.85704046,0.50875705,-0.0815349,1,run1
491,-0.9647955,0.21144648,0.15639727,1,run1
492,-0.9717073,-0.15775256,0.17578124,1,run1
493,-0.87906116,-0.4755506,-0.033213522,1,run1
494,-0.6796877,-0.6222754,-0.3883272,1,run1
495,-0.419185,-0.5503103,-0.72210974,1,run1
496,-0.19306108,-0.35546166,-0.9145351,1,run1
497,-0.03941701,-0.16965911,-0.9847142,1,run1
498,0.05814187,-0.047506258,-0.99717736,1,run1
499,0.11177311,0.012017828,-0.9936611,1,run1
500,0.11797566,0.029016357,-0.99259245,1,run1
501,0.07325992,0.025916813,-0.9969761,1,run1
502,-0.010330746,0.016425775,-0.9998117,1,run1
503,-0.10240903,0.002444763,-0.9947394,1,run1
504,-0.16682994,-0.016073354,-0.9858547,1,run1
505,-0.179937,-0.028290754,-0.98327124,1,run1
506,-0.13883966,-0.011553953,-0.9902475,1,run1
507,-0.05312014,0.057417657,-0.996936,1,run1
508,0.07467422,0.18965128,-0.9790078,1,run1
509,0.26030508,0.36726457,-0.8929491,1,run1
510,0.5102924,0.5140224,-0.68947995,1,run1
511,0.7665904,0.5116597,-0.3879994,1,run1
512,0.94166934,0.3149188,-0.11868059,1,run1
513,0.8186686,-0.0021764825,-0.57426214,1,run1
514,0.75125,-0.18569934,-0.63335544,1,run1
515,0.5807757,-0.28689796,-0.7618328,1,run1
516,0.37087294,-0.2796675,-0.8855729,1,run1
517,0.19368166,-0.19490698,-0.9615086,1,run1
518,0.08359485,-0.0723975,-0.99386644,1,run1
519,0.03558595,0.08408144,-0.99582326,1,run1
520,0.03428653,0.3045466,-0.95188016,1,run1
521,0.07115445,0.6103879,-0.78890026,1,run1
