site,mx,my,mz,atom
319,-0.6773745,-0.6452689,-0.3532589,1
320,-0.42000422,-0.57423985,-0.70274115,1
321,-0.19650644,-0.37411842,-0.9063226,1
322,-0.047105763,-0.18282942,-0.9820155,1
323,0.044567414,-0.055958085,-0.99743795,1
324,0.09165737,0.0090857195,-0.9957492,1
325,0.09199981,0.033024766,-0.99521124,1
326,0.042661916,0.037008576,-0.9984039,1
327,-0.045040585,0.032194734,-0.99846625,1
328,-0.14157277,0.017954538,-0.98976505,1
329,-0.21012774,-0.0070417197,-0.97764856,1
330,-0.22496572,-0.031413242,-0.9738602,1
331,-0.18208392,-0.030774755,-0.9828013,1
332,-0.09362069,0.019284217,-0.9954212,1
333,0.031603776,0.12987731,-0.9910263,1
334,0.2041527,0.28796425,-0.93562716,1
335,0.43789002,0.43616945,-0.78613514,1
336,0.6972398,0.4723716,-0.53918606,1
337,0.8980804,0.3327032,-0.28768057,1
338,0.985119,0.060219675,-0.1609788,1
339,0.9465998,-0.23379622,-0.22200951,1
340,0.78870386,-0.43368787,-0.43573043,1
341,0.54889816,-0.47020438,-0.6910996,1
342,0.31131548,-0.36408815,-0.87779415,1
343,0.14475474,-0.19555305,-0.96995103,1
344,0.052821048,-0.009021715,-0.99856323,1
345,0.007971463,0.2133424,-0.976945,1
346,-0.017368715,0.5086427,-0.8608024,1
347,-0.04194442,0.8418873,-0.5380208,1
348,-0.06801649,0.9971733,0.031924307,1
349,-0.08260098,0.80238146,0.5910677,1
350,-0.08479766,0.40602234,0.9099204,1
351,-0.082930654,-0.034855895,0.9959455,1
352,-0.080705784,-0.47371027,0.876975,1
353,-0.074817054,-0.85263115,0.51712924,1
354,-0.057686377,-0.9961113,-0.066592425,1
355,-0.033266544,-0.79403037,-0.6069672,1
356,-0.017802287,-0.4596922,-0.8878998,1
357,-0.022062192,-0.18434493,-0.982614,1
358,-0.058744814,0.014325326,-0.99817026,1
359,-0.14831834,0.17241627,-0.9737938,1
360,-0.31029063,0.3038046,-0.9007899,1
361,-0.5338075,0.3721525,-0.75931025,1
362,-0.7535323,0.31977877,-0.5743959,1
363,-0.8905733,0.13895495,-0.43309432,1
364,-0.9020186,-0.103043444,-0.41921884,1
365,-0.78313017,-0.3002098,-0.54459256,1
366,-0.56653124,-0.36828354,-0.73716325,1
367,-0.32223362,-0.30003136,-0.8978567,1
368,-0.1121288,-0.16262259,-0.9802963,1
369,0.054849416,-0.031879038,-0.9979856,1
370,0.19329338,0.048829976,-0.9799252,1
371,0.29970738,0.06557508,-0.95177484,1
372,0.35118777,0.030179424,-0.93581855,1
